TradingDate,QTP,DCM,DPM,ACB,VCB,BID,MBB,STB
2022-01-04,17200.0,35015.0,41414.0,22987.0,79000.0,37400.0,24249.0,32100.0
2022-01-05,17500.0,35109.0,40762.0,22520.0,78000.0,37050.0,23916.0,32550.0
2022-01-06,17200.0,34732.0,39784.0,22553.0,79100.0,38000.0,23624.0,32700.0
2022-01-07,17300.0,33127.0,38194.0,22252.0,79800.0,39200.0,23832.0,31950.0
2022-01-10,17100.0,30815.0,35585.0,22052.0,79500.0,38850.0,23416.0,31600.0
2022-01-11,16800.0,30013.0,35463.0,21885.0,79400.0,39400.0,23249.0,32450.0
2022-01-12,16500.0,29447.0,36278.0,22119.0,80000.0,42150.0,24332.0,34700.0
2022-01-13,16400.0,29352.0,35218.0,22286.0,81900.0,44000.0,24749.0,34300.0
2022-01-14,16100.0,27323.0,32773.0,22085.0,83400.0,44250.0,24707.0,35000.0
2022-01-17,16000.0,25671.0,31957.0,21885.0,86200.0,43650.0,24582.0,32600.0
2022-01-18,15700.0,27465.0,34159.0,21918.0,87600.0,44900.0,24916.0,33900.0
2022-01-19,15700.0,27748.0,35055.0,22052.0,86800.0,43650.0,24666.0,32900.0
2022-01-20,16300.0,27323.0,35259.0,22019.0,87100.0,46700.0,25166.0,33800.0
2022-01-21,15800.0,26615.0,34892.0,22353.0,89200.0,47350.0,26499.0,34600.0
2022-01-24,15300.0,24775.0,32487.0,22954.0,93000.0,46900.0,26749.0,33300.0
2022-01-25,15200.0,25152.0,33751.0,23288.0,95800.0,49000.0,27166.0,34700.0
2022-01-26,15300.0,24680.0,33262.0,23689.0,94500.0,48100.0,27749.0,35550.0
2022-01-27,15300.0,25388.0,34515.0,23322.0,91000.0,47600.0,27499.0,35400.0
2022-01-28,15400.0,25483.0,33596.0,23088.0,89000.0,47950.0,28082.0,35550.0
2022-02-07,15700.0,26426.0,35643.0,23188.0,92400.0,47400.0,28166.0,35600.0
2022-02-08,16000.0,26898.0,36939.0,23890.0,92000.0,47350.0,28166.0,35850.0
2022-02-09,16100.0,27087.0,36604.0,23789.0,90800.0,48400.0,27749.0,35050.0
2022-02-10,16200.0,28078.0,37607.0,23756.0,91300.0,48400.0,28124.0,34750.0
2022-02-11,16400.0,28739.0,38819.0,23856.0,90000.0,47900.0,28291.0,35300.0
2022-02-14,16500.0,27653.0,38192.0,22720.0,86000.0,44750.0,26666.0,32850.0
2022-02-15,16600.0,28125.0,38944.0,23054.0,87000.0,46200.0,27249.0,33500.0
